node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
ALAMT6G_7_B1,24.693599705882356,40.39149916666667,49.14461213235295,1310.0,1159.0,1463.0,153.0
ALASB1_7_NSB1,26.294449999999998,41.44840193627451,51.110110318627456,1197.0,1108.0,1450.0,253.0
ALASB2_7_NSB2,23.281396740196076,34.92154178921569,44.99759906862745,1594.0,1645.0,1555.0,39.0
ALLEGHNY_6_N002,31.61894291666667,56.159136078431374,81.00591549019607,916.0,893.0,907.0,9.0
ALMASL3_7_N001,17.125341740196077,26.91726431372549,32.0969299754902,1922.0,1929.0,1954.0,32.0
ALMASL3_7_N002,17.125341740196077,26.91726431372549,32.0969299754902,1922.0,1929.0,1954.0,32.0
ALMASL_7_GUB6N,17.125341740196077,26.91726431372549,32.0969299754902,1922.0,1929.0,1954.0,32.0
ALMASL_7_GUS6N,17.125341740196077,26.91726431372549,32.0969299754902,1922.0,1929.0,1954.0,32.0
ALMASL_7_GUS7N,17.125341740196077,26.91726431372549,32.0969299754902,1922.0,1929.0,1954.0,32.0
ALMDACT1_7_B1,33.13628583333333,57.930606421568626,91.56592075980393,871.0,861.0,768.0,103.0
ALMDACT2_7_B1,33.13628583333333,57.930606421568626,91.56592075980393,871.0,861.0,768.0,103.0
ALMERGB2_7_N001,24.693599705882356,40.39149916666667,49.14461213235295,1310.0,1159.0,1463.0,153.0
ALPAUGH_7_N001,46.6601987745098,84.54251772058824,135.88864676470587,554.0,462.0,408.0,146.0
ALTA1G_7_B1,55.62713431372549,94.2909049509804,143.11756541666668,420.0,407.0,360.0,60.0
ALTA2G_7_B1,55.62713431372549,94.2909049509804,143.11756541666668,420.0,407.0,360.0,60.0
ALTA6B2_7_N003,24.323197941176467,38.15266426470589,51.33527892156864,1395.0,1388.0,1370.0,25.0
ALTA6E2_7_N002,24.323197941176467,38.15266426470589,51.33527892156864,1395.0,1388.0,1370.0,25.0
ALTAD1_7_N006,24.323197941176467,38.15266426470589,51.33527892156864,1395.0,1388.0,1370.0,25.0
ALTAD2_7_N006,24.323197941176467,38.15266426470589,51.33527892156864,1395.0,1388.0,1370.0,25.0
ALTAPES_7_N001,22.254315759803923,33.80558600490196,42.730792794117654,1660.0,1760.0,1629.0,31.0
ALTWD1_7_N003,27.527126642156865,40.52254370098039,53.381114264705886,1063.0,1136.0,1260.0,197.0
ALTWD1_7_N004,27.527126642156865,40.52254370098039,53.381114264705886,1063.0,1136.0,1260.0,197.0
AMERIGAS_1_GN001,30.823490367647054,52.02069375000001,82.78548416666666,935.0,952.0,884.0,51.0
AMWWD1_1_NWD1,27.827133308823534,40.23808240196079,53.47496786764706,1021.0,1177.0,1237.0,216.0
ANGELA_7_N001,46.6601987745098,84.54251772058824,135.88864676470587,554.0,462.0,408.0,146.0
ANGELA_7_N002,46.6601987745098,84.54251772058824,135.88864676470587,554.0,462.0,408.0,146.0
ANTELOPE_2_B1,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
ANTELOPE_6_B1,20.026325,35.39503745098039,41.392169754901964,1809.0,1559.0,1736.0,73.0
APLHILGN_7_N002,33.55063950980392,58.82387009803922,90.25527284313725,834.0,827.0,793.0,41.0
APPALOSA_3_SOLAR1GNODE,7.007296568627452,11.393373529411765,15.746984803921569,2040.0,2038.0,2038.0,2.0
APPLEHL_1_N004,33.55063950980392,58.82387009803922,90.25527284313725,834.0,827.0,793.0,41.0
AQUAWS_7_CN1,70.61820095588234,123.25849794117647,199.94458708333337,293.0,270.0,293.0,0.0
AQUAWS_7_N002,70.61820095588234,123.25849794117647,199.94458708333337,293.0,270.0,293.0,0.0
ARAMIS_7_N001,33.567737916666665,59.263503700980394,95.61346463235293,827.0,803.0,677.0,150.0
ARAMIS_7_N002,33.567737916666665,59.263503700980394,95.61346463235293,827.0,803.0,677.0,150.0
ARAMIS_7_N003,33.567737916666665,59.263503700980394,95.61346463235293,827.0,803.0,677.0,150.0
ARAMIS_7_N004,33.567737916666665,59.263503700980394,95.61346463235293,827.0,803.0,677.0,150.0
ARCATA_6_N001,38.34479583333333,68.86750294117647,95.12009759803922,718.0,675.0,689.0,29.0
ARCATA_7_N001,38.34479583333333,68.86750294117647,95.12009759803922,718.0,675.0,689.0,29.0
ARCATA_7_N003,38.34479583333333,68.86750294117647,95.12009759803922,718.0,675.0,689.0,29.0
