node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_contribution,n_months_active,size_cv,size_max_share,same_kstar_months,persistence_label,n_tpp_projects,earliest_isd_active,oldest_plan_year,max_slip_years,projects_summary
ONEILPMP_7_N004,RED,110.19190645833332,0.12170593770674792,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-4.425168170691459,-0.8957273423352428,-0.8957273423352428,4.425168170691459,8759,3.2488380008704985,11,0.8783640954776681,0.2640096640958865,5,11/12 mo · moderate,0.0,,,,
ONEILPMP_7_N005,RED,110.19190645833332,0.12170593770674792,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-4.425168170691459,-0.8957273423352428,-0.8957273423352428,4.425168170691459,8759,3.2488380008704985,11,0.8783640954776681,0.2640096640958865,5,11/12 mo · moderate,0.0,,,,
ONEILPMP_7_N006,RED,110.19190645833332,0.12170593770674792,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-4.425168170691459,-0.8957273423352428,-0.8957273423352428,4.425168170691459,8759,3.2488380008704985,11,0.8783640954776681,0.2640096640958865,5,11/12 mo · moderate,0.0,,,,
OPALSPRI_NODET,WHITE,44.55351981617646,0.2011867202981701,filled,199776475.485,ITC:PACE_FOURCORNE345_ITC,,unknown,7.342187977895119,-1.1201654401668373,-1.1201654401668373,-7.342187977895119,8759,0.806715349409888,6,0.6030892514214147,0.2700211356128297,2,6/12 mo · moderate,0.0,,,,
ORLANDB_6_N004,WHITE,31.20223681372549,0.15082918544180857,filled,299346115.374,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,4.177680652261478,0.41446037389326246,0.41446037389326246,-4.177680652261478,8759,1.0391185834055163,10,1.2951518072556591,0.3797253030239237,3,10/12 mo · variable,0.0,,,,
ORLNDB_7_N001,WHITE,31.20223681372549,0.15082918544180857,filled,299346115.374,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,4.177680652261478,0.41446037389326246,0.41446037389326246,-4.177680652261478,8759,1.0391185834055163,10,1.2951518072556591,0.3797253030239237,3,10/12 mo · variable,0.0,,,,
OROENGY_7_B1,WHITE,40.056732892156866,0.23709003372799323,filled,239827483.63549995,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.9207624610289733,-0.24822521548712442,-0.24822521548712442,-1.9207624610289733,8759,1.2066860662234444,12,1.7536990771144605,0.5090923545426622,3,12/12 mo · variable,0.0,,,,
OROLMGN_7_N004,PURPLE,110.49812044117648,0.1918450882911429,filled,378389869.6319999,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-9.2171232692663,11.091366785971632,11.091366785971632,9.2171232692663,8759,3.44210807344381,9,0.9906637457703144,0.3236793787644139,3,9/12 mo · moderate,0.0,,,,
OROLMGN_7_N005,PURPLE,110.49812044117648,0.1918450882911429,filled,378389869.6319999,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-9.2171232692663,11.091366785971632,11.091366785971632,9.2171232692663,8759,3.44210807344381,9,0.9906637457703144,0.3236793787644139,3,9/12 mo · moderate,0.0,,,,
OROLOM_7_N001,RED,55.52321115196078,0.17938169494719883,filled,334955672.334,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,-3.7895722939841168,0.11169939878065917,0.11169939878065917,3.7895722939841168,1872,1.490691351614125,2,0.1833831636932853,0.5648357393014823,1,sporadic (2/12 mo),0.0,,,,
OROLOM_7_N002,RED,55.52321115196078,0.17938169494719883,filled,334955672.334,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,-3.7895722939841168,0.11169939878065917,0.11169939878065917,3.7895722939841168,1872,1.490691351614125,2,0.1833831636932853,0.5648357393014823,1,sporadic (2/12 mo),0.0,,,,
OROVLTP_6_B1,WHITE,40.056732892156866,0.23709003372799323,filled,239827483.63549995,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.9207624610289733,-0.24822521548712442,-0.24822521548712442,-1.9207624610289733,8759,1.2066860662234444,12,1.7536990771144605,0.5090923545426622,3,12/12 mo · variable,0.0,,,,
ORTIGAGN_7_N001,WHITE,118.41387594362743,0.1328881810025625,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,9.221434636868493,0.3842347585165447,0.3842347585165447,-9.221434636868493,8759,4.525008817897997,11,0.8070699811283442,0.2433770062635058,7,11/12 mo · moderate,0.0,,,,
ORTIGAGN_7_N003,WHITE,118.41387594362743,0.1328881810025625,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,9.221434636868493,0.3842347585165447,0.3842347585165447,-9.221434636868493,8759,4.525008817897997,11,0.8070699811283442,0.2433770062635058,7,11/12 mo · moderate,0.0,,,,
ORTIGAGN_7_N004,WHITE,118.41387594362743,0.1328881810025625,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,9.221434636868493,0.3842347585165447,0.3842347585165447,-9.221434636868493,8759,4.525008817897997,11,0.8070699811283442,0.2433770062635058,7,11/12 mo · moderate,0.0,,,,
