physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:30585_LS PSTAS_230_30630_NEWARK  _230_BR_1 _1,4.0,24319.234460000003,LSPSTAS,NEWARK,230.0,,700.0,voltage proxy 230 kV,0
NOM:115kv NH,2.0,22693.13474,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:7410_CP24_NG,1.0,22432.01868,,,,,,unknown,0
NOM:30881_HENRIETA_230_34430_HENRETTA_115_XF_3,1.0,22368.07419,HENRIETA,HENRETTA,230.0,,700.0,voltage proxy 230 kV,0
NOM:7820_TL23040_IV_SPS_NG,1.0,21809.61356,,,,,,unknown,0
NOM:99100_PIT-ESH1_230_30560_E. SHORE_230_BR_1 _2,1.0,21066.43872,PIT-ESH1,E.SHORE,230.0,,700.0,voltage proxy 230 kV,0
NOM:34429_GWF_HEP _115_34428_CONTADNA_115_BR_1 _1,1.0,19540.10869,CONTADNA,,115.0,,250.0,voltage proxy 115 kV,0
NOM:31336_HPLND JT_60.0_31206_HPLND JT_115_XF_2,1.0,17530.86347,HPLNDJT,,115.0,,250.0,voltage proxy 115 kV,0
NOM:7430_CP6_NG,1.0,17223.44572,,,,,,unknown,0
NOM:115kv HO,2.0,17186.360399999998,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:34880_SN BRNRD_70.0_39021_SC21ATP _70.0_BR_1 _1,1.0,16295.79865,SNBRNRD,SC21ATP,70.0,,150.0,voltage proxy 70 kV,0
NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1,2.0,15975.10586,GATES2,MIDWAY,500.0,Midway -Los Banos,5400.0,WECC path 15,5
ITC:YU XFMR4 A  69KV,1.0,15531.79396,YU,,69.0,,150.0,voltage proxy 69 kV,0
NOM:24801_DEVERS  _500_99014_CALCAPS2_500_BR_2 _1,2.0,14687.87371,DEVERS,CALCAPS2,500.0,,2500.0,voltage proxy 500 kV,0
NOM:33950_RVRBK TP_115_33934_TULLOCH _115_BR_1 _1,4.0,14424.33803,RVRBKTP,TULLOCH,115.0,,250.0,voltage proxy 115 kV,0
NOM:7760_DEV_RDB_ALIS,1.0,13512.923829999998,,,,,,unknown,0
NOM:22604_OTAY    _69.0_22616_OTAYLKTP_69.0_BR_1 _1,2.0,12774.64501,OTAY,OTAYLKTP,69.0,,150.0,voltage proxy 69 kV,0
ITC:WMesaWT2_448 MVA,1.0,11760.8294,WMesaWT2,,,,448.0,ITC name (explicit MVA),0
NOM:34430_HENRETTA_115_34519_LPNJCTSS_115_BR_1 _1,1.0,11744.40204,HENRETTA,LPNJCTSS,115.0,,250.0,voltage proxy 115 kV,0
NOM:34112_EXCHEQUR_115_34116_LE GRAND_115_BR_1 _1,1.0,10438.3326,EXCHEQUR,LEGRAND,115.0,,250.0,voltage proxy 115 kV,0
NOM:22556_NAVSTMTR_69.0_22824_SWTWTRTP_69.0_BR_1 _1,1.0,10355.31008,NAVSTMTR,SWTWTRTP,69.0,,150.0,voltage proxy 69 kV,0
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,1.0,9427.60918,CARIBOU,XF,115.0,,250.0,voltage proxy 115 kV,0
NOM:34158_PANOCHE _115_34350_KAMM    _115_BR_1 _1,1.0,9235.43189,PANOCHE,KAMM,115.0,,250.0,voltage proxy 115 kV,0
NOM:MIGUEL_BKs_MXFLW_NG,1.0,9034.79276,,,,,,unknown,0
ITC:TEPC_BA_IMP_ITC,1.0,8933.821300000001,TEPC,,,,,unknown,0
NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,1.0,8904.02104,LOSBANOS,GATES1,500.0,Midway -Los Banos,5400.0,WECC path 15,5
ITC:EAST_WYO_EXP,1.0,8829.692420000001,EAST,,,,,unknown,0
NOM:24386_MESA CAL_500_24394_MESA4I  _13.8_XF_4H,2.0,8638.1848,MESACAL,MESA4I,500.0,,2500.0,voltage proxy 500 kV,0
NOM:VC_TL_681B_import_NG,1.0,8572.09068,,,,,,unknown,0
NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,2.0,8539.12969,MELONES,MELNSJB,115.0,,250.0,voltage proxy 115 kV,0
NOM:OMS_18316810_SANLUS_1WCB_Exp2,1.0,8004.39328,,,,,,unknown,0
NOM:24402_ANTELOPE_66.0_24420_NEENACH _66.0_BR_1 _1,1.0,7893.16988,ANTELOPE,NEENACH,66.0,,,voltage 66 kV (no proxy),0
NOM:30875_MC CALL _230_34370_MC CALL _115_XF_1 _P,1.0,7778.865599999999,MCCALL,,230.0,,700.0,voltage proxy 230 kV,0
NOM:34115_ADRA TAP_115_34154_DAIRYLND_115_BR_1 _1,1.0,7736.0729900000015,ADRATAP,DAIRYLND,115.0,,250.0,voltage proxy 115 kV,0
